County,Farm Name,Fruits,Address,Phone,Email
Allegan County,A.W. Overhiser Orchards,"cherries (sweet and
tart), peaches,
pears, plums, applesNW corner of 64th Street and
109th Avenue, South
Haven, MI 49090","A.W. Overhiser Orchards - cherries (sweet and
tart), peaches,
pears, plums, applesNW corner of 64th Street and
109th Avenue, South
Haven, MI 49090.",616-836-3298,
Allegan County,Brookside Farms Fritz's Blueberries,"blueberries, restrooms,
picnic area1475 116th (m","Brookside Farms Fritz's Blueberries - blueberries, restrooms,
picnic area1475 116th (m-222), Martin, MI 49078.",269-672-5727,
Allegan County,Dutch Farm Market,"apples, cherries, peaches, plums, 6967 109th Avenue, South Haven,
MI 49090","Dutch Farm Market
- apples, cherries, peaches, plums, 6967 109th Avenue, South Haven,
MI 49090.",616-637-8334,
Allegan County,Fawn Meadow Vineyard,"Uses natural growing practices, grapes,
prepicked produce3112 136th Avenue, Hamilton, MI 49419","Fawn Meadow Vineyard -
Uses natural growing practices, grapes,
prepicked produce3112 136th Avenue, Hamilton, MI 49419.",616-896-1108,
Allegan County,Forstner Blueberry Farm,"blueberries, porta","Forstner Blueberry Farm - blueberries, porta-potties are available466 27th
Street, Allegan, MI 49010.",269-673-3475,
Allegan County,Gary Crane Farm,"Apple, Pumpkins, gourds, squash, Indian corn
and gourd artM","Gary Crane Farm - Apple, Pumpkins, gourds, squash, Indian corn
and gourd artM-89, Fennville, MI.",616-561-5126,
Allegan County,Lavender Life Company and Farm,"lavender, U","Lavender Life Company and Farm - lavender, U-pick and already picked, gift shop, concessions or refreshment stand, bakery, Cell service cell
phones work here, restrooms, picnic area, group reservations464 Stanton Farms Drive, Caledonia, MI 49316.",(616) 855-2111,
Allegan County,,"2023 permanently closed  6431 107th Avenue, South Haven, MI
49090","McIntosh Apple Orchards - 2023 permanently closed  6431 107th Avenue, South Haven, MI
49090.  Email:
apple1941@aol.com. UPDATE for 2023, Google says they are permanently closed. 
.cherries (sweet and tart),
peaches, pears, apples and plums
(UPDATED: September 18, 2019, JBS)",,apple1941@aol.com?subject=Inquiry from a visitor to www.PickYourOwn.org//MIsouthwest.htm
Allegan County,Pleasant Hill Farms,"Certified Organic
Blueberries 5859 124th Avenue, Fennville, MI 49408","Pleasant Hill Farms -
Certified Organic
Blueberries 5859 124th Avenue, Fennville, MI 49408.",269-561-2850,
Allegan County,The Phunny Pharm,"Uses natural growing practices,
blueberries, snacks and refreshment stand, picnic area4268 50th St,
Holland, MI 49423","The Phunny Pharm -
Uses natural growing practices,
blueberries, snacks and refreshment stand, picnic area4268 50th St,
Holland, MI 49423.",616-594-0505,
Allegan County,Riverbend Farms,"blackberries, raspberries (red), raspberries
(Autumn, red), raspberries (black), U","Riverbend Farms - blackberries, raspberries (red), raspberries
(Autumn, red), raspberries (black), U-pick and already picked44 72nd
Street, South Haven, MI 49090.",269-350-9529,
Allegan County,Sill Brothers U-Pick,Pick,"Sill Brothers U-Pick - Tomatoes, Peppers,
Tomatillos and Eggplant860 - 68th Street, South Haven, MI.",269-637-2415,
Allegan County,Sparks Blueberry Farm,"blueberries, U","Sparks Blueberry Farm - blueberries, U-pick
and already picked, porta-potties are available, picnic area80 68th Street, South
Haven, MI 49090.",269-214-2041,
Barry County,Cotants Farm Market,"Strawberries, blueberries, apples,
pumpkins, restrooms, corn maze, pumpkin patch in the field, pumpkins
(brought in from the field), Bouncy castle or moon bounce, tours of the
operation2500 S M 37 Hwy, Hastings Charter Township, MI 49058","Cotants Farm Market - Strawberries, blueberries, apples,
pumpkins, restrooms, corn maze, pumpkin patch in the field, pumpkins
(brought in from the field), Bouncy castle or moon bounce, tours of the
operation2500 S M 37 Hwy, Hastings Charter Township, MI 49058.",(269) 945-4180,
Barry County,Kendall's Blueberries,"2021 permanently closed2124 Coburn Road, Hastings, MI 49058","Kendall's Blueberries
- 2021 permanently closed2124 Coburn Road, Hastings, MI 49058.",269-945-3735,
Berrien County,"Berry
Lucky Farm","blueberries, U","Berry
Lucky Farm - blueberries, U-pick and already picked, porta-potties3542 West Lemon Creek Road, Bridgman, MI 49106.",(574) 850-4322,
Berrien County,Bixby Orchards,u,"Bixby Orchards - u-pick strawberries,
Pokagon Rd, Berrien
Springs, MI 49103.",(269) 473-6681,
Berrien County,Bredeweg Acres,"blueberries, U","Bredeweg Acres - blueberries, U-pick and already picked, gift
shop, porta-potties are available, picnic area, farm animals2268 W Rockey Weed Rd,
Stevensville, MI 49127.",269-422-2731,
Berrien County,Castanea sativa LLC,"No pesticides are used, chestnuts, Meadowbrook Road / Park Road, Eau Claire, MI
49111","Castanea sativa LLC - No pesticides are used, chestnuts, Meadowbrook Road / Park Road, Eau Claire, MI
49111.",(847) 436-3704,
Berrien County,Dinges Fall Harvest,U,"Dinges Fall Harvest - U-Pick Concord grapes, U-Pick Niagara Grapes, corn maze, haunted corn maze, straw or hay bale maze, child-sized haybale
maze, horse-drawn hay rides, tractor-pulled hay rides, wagon rides, pumpkin patch-pick in the field, pumpkin patch- already gathered from the field, train
rides, prepicked produce, gift shop, snacks and refreshment stand, restrooms, picnic area, face painting, pony rides, petting zoo, farm animals, birthday
parties, school tours15219 Mill Road, Three Oaks, MI 49128.",269-426-4034,
Berrien County,Earth First Farms,"Certified Organic, U","Earth First Farms -
Certified Organic, U-Pick
apples, Pre-picked apples, Pre-picked strawberries, 8335 Smith Road,
Berrien Center, MI 49102.",269-815-3370,
Berrien County,Eckler's Produce and Greenhouse,u,"Eckler's Produce and Greenhouse - u-pick blueberries and
raspberries1879 Barron Lake Road, Niles, MI 49120.",269-683-2509,
Berrien County,The Extraordinary Berry,"2023 permanently closed Riverside, MI 49084","The Extraordinary Berry -
2023 permanently closed Riverside, MI 49084. Open: UPDATE for 2023, A visitor tells me the farm is permanently closed.",,
Berrien County,Forraht Farms,"apples, grapes960 East Lemon Creek
Rd, Berrien Springs, MI 49103","Forraht Farms - apples, grapes960 East Lemon Creek
Rd, Berrien Springs, MI 49103.",(269) 473-1730,
Berrien County,Frank Farms,"UPDATE for 2023, Their website or Facebook page says they no longer offer Pick","Frank Farms - UPDATE for 2023, Their website or Facebook page says they no longer offer Pick-your-own
8249 Deans Hill Road, Berrien Center, MI 49102. ""U-Pick Is No Longer Available   Thank you""   (UPDATED:
September 16, 2023 JBS)",,
Berrien County,"Fruit Acres Farm Market and
U-Pick",Pick,"Fruit Acres Farm Market and
U-Pick - Apples, cherries, nectarines, peaches, and prepicked produce, snacks and refreshment stand, restrooms,
picnic area, tractor-pulled hay rides2789 Friday Road, Coloma, MI 49038.",(269) 468-5076,
Berrien County,Jollay Orchards Family Fun Farm,u,"Jollay Orchards Family Fun Farm - u-pick cherries, apricots,
raspberries, peaches, apples and pumpkins, hayrides1850 Friday Road, Coloma, MI
49038.",616-468-3075,
